SEARCH_TEXT
配
慮
派
遣
栗
粟
燃
燒
規
格
具
俱
構
築
竊
盜
賊
恥
辱
侮
戱
弄
尖
銳
敏
慧
贊
讚
憤
墳
央
災
殃
粧
飾
浸
掠
割
賦
桃
挑
逃
侵
犯
厄
添
削
封
鎖
資
原
隨
伴
寢
芳
妨
傍
輩
彈
琴
疲
軟
被
排
球
架
超
越
騷
亂
粉
紛
頻
繁
循
環
還
査
搜
索
聯
絡
卓
板
銅
臺
詞
健
康
寧
懇
切
祈
牽
制
卿
爵
飜
復
蓋
條
件
段
階
層
館
管
脈
怪
疾
豚
疫
區
驅
迫
脅
欺
詐
偶
愚
欄
蘭
齊
濟
租
組
項
羽
饑
餓
優
劣
拘
束
敦
篤
隣
憐
愍
包
攝
胞
飽
怠
慢
獵
銃
藏
臟
墮
履
獄
吏
戚
寂
符
簿
蒸
庶
眉
墻
障
叫
糾
沓
踏
襲
卑
碑
銘
婢
蔬
疏
忽
閏
濕
潤
促
着
囚
徹
低
廊
梅
毒
矢
編
遍
偏
遙
謠
搖
督
總
販
耐
震
旦
壇
檀
創
刊
幹
棄
却
監
鹽
裂
龜
鑑
紀
綱
剛
錯
覺
隔
差
警
戒
暇
逸
確
率
據
點
盲
媒
介
缺
陷
沒
契
械
機
較
準
標
郵
票
漂
泊
專
轉
團
賜
宴
稀
薄
牙
芽
雅
淡
蒼
倉
板
局
禽
獸
傾
斜
逕
頃
刻
遲
孤
掌
拍
顧
護
崩
壞
系
係
肯
啓
蒙
恐
懼
畏
狂
奔
僅
謹
忌
雷
避
憎
贈
般
盤
貪
塔
湯
殆
態
珠
株
操
燥
弔
慰
昏
茫
吐
鳳
把
肥
衰
翁
司
社
祀
曉
霧
緯
範
圍
侍
衛
違
背
航
抗
帳
幕
漠
麻
磨
納
付
府
附
腐
徵
懲
罰
役
糧
濫
擭
穫
埋
葬
塗
裝
莊
訴
訟
頌
換
拂
衡
衝
突
厥
演
劇
策
略
廟
昇
級
泥
淚
漏
臭
趣
智
誌
池
珍
鎭
振
陳
姪
秩
誘
惑
迷
陶
潛
涉
赴
穴
貢
獻
諾
黙
寡
慾
乞
巧
寶
庫
貫
慣
鬪
狗
攻
擊
鼓
桂
冠
錦
綿
隆
陵
龍
蛇
征
整
補
償
臨
床
凍
梨
斤
斥
奪
奮
侯
症
候
郡
宮
胃
謂
痛
鬼
哭
携
帶
腰
提
供
激
勵
肩
負
擔
任
員
複
腹
鋼
硬
輝
揮
側
