SEARCH_TEXT
佳
假
脚
看
渴
敢
減
甘
甲
講
降
皆
更
居
巨
乾
堅
潔
庚
耕
輕
驚
溪
癸
鷄
苦
穀
困
坤
關
橋
舊
勸
卷
歸
均
極
及
急
給
幾
旣
暖
乃
怒
但
端
當
待
徒
燈
浪
郞
凉
練
烈
領
露
綠
柳
倫
李
莫
晩
忘
忙
妹
買
麥
免
眠
鳴
暮
卯
妙
戊
茂
墨
勿
尾
朴
飯
房
杯
伐
凡
丙
伏
逢
否
扶
浮
部
佛
朋
悲
鼻
貧
巳
私
絲
舍
謝
散
傷
喪
常
霜
暑
惜
昔
舌
盛
聖
稅
細
笑
續
松
修
壽
愁
樹
秀
誰
雖
須
叔
宿
淑
純
戌
崇
拾
乘
承
試
申
辛
深
甚
我
惡
眼
顔
巖
暗
仰
哀
也
揚
讓
於
億
憶
嚴
余
如
汝
與
餘
亦
煙
悅
炎
葉
迎
吾
悟
誤
瓦
臥
曰
欲
于
又
尤
憂
遇
云
圓
怨
偉
危
威
唯
幼
柔
猶
遊
酉
乙
吟
陰
泣
依
矣
已
異
而
印
寅
忍
認
壬
姊
慈
昨
壯
哉
栽
低
著
敵
赤
適
錢
丁
井
停
淨
貞
靜
頂
祭
諸
除
尊
從
終
鐘
坐
朱
酒
卽
曾
證
之
只
持
枝
盡
辰
執
且
借
此
昌
採
菜
妻
尺
泉
淺
鐵
晴
聽
請
招
推
丑
吹
就
針
他
脫
探
泰
投
破
篇
閉
布
抱
暴
彼
匹
何
賀
寒
恨
閑
恒
亥
虛
許
賢
刑
乎
呼
戶
或
混
紅
華
歡
厚
胸
黑
喜
