SEARCH_TEXT
連
勝
敗
責
望
願
唱
歌
舞
協
助
製
造
密
着
陸
氷
河
勞
使
各
個
强
弱
愛
犬
列
擧
快
良
識
貝
豆
弓
其
丹
兆
新
最
榮
貴
勇
將
卒
權
勢
歷
代
速
讀
米
飮
婚
貨
短
刀
斗
量
街
頭
存
獨
善
施
務
雄
飛
得
卵
早
起
逆
凶
漁
易
救
難
處
訪
防
遺
骨
若
干
支
滿
變
革
改
拜
寺
尙
送
授
氏
罪
走
衆
判
湖
藝
射
殺
害
打
章
句
禁
貯
宇
宙
晝
夜
谷
浴
勤
勉
留
久
遠
患
皇
賣
店
屋
堂
限
根
退
窓
好
聲
烏
皮
追
增
然
往
爲
以
仁
第
虎
視
仙
味
春
硏
冷
溫
